Training: 2021-04-08 20:01:04,949-Speed 1871.49 samples/sec   Loss 19.7401   Epoch: 0   Global Step: 5100   Required: 22 hours
Training: 2021-04-08 20:01:18,628-Speed 1871.53 samples/sec   Loss 19.8173   Epoch: 0   Global Step: 5150   Required: 22 hours
Training: 2021-04-08 20:01:32,327-Speed 1868.75 samples/sec   Loss 19.5425   Epoch: 0   Global Step: 5200   Required: 22 hours
Training: 2021-04-08 20:01:46,011-Speed 1870.84 samples/sec   Loss 19.5894   Epoch: 0   Global Step: 5250   Required: 22 hours
Training: 2021-04-08 20:01:59,698-Speed 1870.53 samples/sec   Loss 19.4783   Epoch: 0   Global Step: 5300   Required: 22 hours
Training: 2021-04-08 20:02:13,400-Speed 1868.33 samples/sec   Loss 19.4273   Epoch: 0   Global Step: 5350   Required: 22 hours
Training: 2021-04-08 20:02:27,077-Speed 1871.74 samples/sec   Loss 19.5009   Epoch: 0   Global Step: 5400   Required: 22 hours
Training: 2021-04-08 20:02:40,754-Speed 1871.84 samples/sec   Loss 19.3340   Epoch: 0   Global Step: 5450   Required: 22 hours
Training: 2021-04-08 20:02:54,450-Speed 1869.28 samples/sec   Loss 19.2412   Epoch: 0   Global Step: 5500   Required: 22 hours
Training: 2021-04-08 20:03:08,136-Speed 1870.51 samples/sec   Loss 19.2759   Epoch: 0   Global Step: 5550   Required: 22 hours
Training: 2021-04-08 20:03:21,825-Speed 1870.24 samples/sec   Loss 19.2323   Epoch: 0   Global Step: 5600   Required: 22 hours
Training: 2021-04-08 20:03:35,505-Speed 1871.40 samples/sec   Loss 19.1137   Epoch: 0   Global Step: 5650   Required: 22 hours
Training: 2021-04-08 20:04:17,874-[lfw][5686]XNorm: 22.824308
Training: 2021-04-08 20:04:17,874-[lfw][5686]Accuracy-Flip: 0.97767+-0.00559
Training: 2021-04-08 20:04:17,874-[lfw][5686]Accuracy-Highest: 0.97767
Training: 2021-04-08 20:04:54,740-[cfp_fp][5686]XNorm: 21.961041
Training: 2021-04-08 20:04:54,740-[cfp_fp][5686]Accuracy-Flip: 0.78371+-0.01731
Training: 2021-04-08 20:04:54,740-[cfp_fp][5686]Accuracy-Highest: 0.78371
Training: 2021-04-08 20:05:25,709-[agedb_30][5686]XNorm: 22.166752
Training: 2021-04-08 20:05:25,709-[agedb_30][5686]Accuracy-Flip: 0.85783+-0.01971
Training: 2021-04-08 20:05:25,709-[agedb_30][5686]Accuracy-Highest: 0.85783
Training: 2021-04-08 20:05:29,540-Speed 224.49 samples/sec   Loss 19.1491   Epoch: 0   Global Step: 5700   Required: 24 hours
Training: 2021-04-08 20:05:43,166-Speed 1878.89 samples/sec   Loss 18.9860   Epoch: 0   Global Step: 5750   Required: 24 hours
Training: 2021-04-08 20:05:56,794-Speed 1878.50 samples/sec   Loss 18.8470   Epoch: 0   Global Step: 5800   Required: 24 hours
Training: 2021-04-08 20:06:10,446-Speed 1875.26 samples/sec   Loss 18.8475   Epoch: 0   Global Step: 5850   Required: 24 hours
Training: 2021-04-08 20:06:24,114-Speed 1873.02 samples/sec   Loss 18.9409   Epoch: 0   Global Step: 5900   Required: 24 hours
Training: 2021-04-08 20:06:38,091-Speed 1831.65 samples/sec   Loss 18.8495   Epoch: 0   Global Step: 5950   Required: 24 hours
Training: 2021-04-08 20:06:52,063-Speed 1832.36 samples/sec   Loss 18.9234   Epoch: 0   Global Step: 6000   Required: 24 hours
Training: 2021-04-08 20:07:05,758-Speed 1869.22 samples/sec   Loss 18.7578   Epoch: 0   Global Step: 6050   Required: 24 hours
Training: 2021-04-08 20:07:19,754-Speed 1829.26 samples/sec   Loss 18.7932   Epoch: 0   Global Step: 6100   Required: 24 hours
Training: 2021-04-08 20:07:33,480-Speed 1865.12 samples/sec   Loss 18.6203   Epoch: 0   Global Step: 6150   Required: 23 hours
Training: 2021-04-08 20:07:56,743-rank_id: 0
Training: 2021-04-08 20:08:01,670-softmax weight init successfully!
Training: 2021-04-08 20:08:01,671-softmax weight mom init successfully!
Training: 2021-04-08 20:08:01,673-Total Step is: 295681
Training: 2021-04-08 20:08:37,763-Reducer buckets have been rebuilt in this iteration.
Training: 2021-04-08 20:09:06,456-Speed 1771.82 samples/sec   Loss 46.5287   Epoch: 0   Global Step: 100   Required: 25 hours
Training: 2021-04-08 20:09:20,521-Speed 1820.19 samples/sec   Loss 46.7215   Epoch: 0   Global Step: 150   Required: 24 hours
Training: 2021-04-08 20:09:34,362-Speed 1849.70 samples/sec   Loss 46.6831   Epoch: 0   Global Step: 200   Required: 24 hours
Training: 2021-04-08 20:09:48,184-Speed 1852.21 samples/sec   Loss 46.5685   Epoch: 0   Global Step: 250   Required: 24 hours
